trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
55,0,55,0,5,97.90306969999801,97.90306969999801,0.016346900025382638,[-0.2601851851851852],[0.3055555555555556],[1],[0],[0],[1.164834399940446],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
56,0,56,0,5,99.08651500009,99.08651500009,0.015796100022271276,[0.13333333333333333],[-0.19444444444444445],[1],[0],[0],[1.1972150999354199],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
57,0,57,0,10,100.31775080005173,100.31775080005173,0.029515299946069717,[0.13148148148148148],[-0.3398148148148148],[1],[0],[0],[1.0344549999572337],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
58,0,58,0,10,101.38506210001651,101.38506210001651,0.029698099941015244,[0.4722222222222222],[-0.016666666666666666],[1],[0],[0],[1.3001318000024185],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
59,0,59,0,10,102.71758490009233,102.71758490009233,0.02933140005916357,[0.18425925925925926],[0.33425925925925926],[1],[0],[0],[1.2346489999908954],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
60,0,60,0,5,103.96871600009035,103.96871600009035,0.014994500088505447,[0.12037037037037036],[-0.4648148148148148],[1],[0],[0],[1.565325100091286],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
61,0,61,0,5,105.5525243000593,105.5525243000593,0.015529800090007484,[0.3962962962962963],[-0.39537037037037037],[1],[0],[0],[2.01412559999153],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
62,0,62,0,5,107.58643290004693,107.58643290004693,0.016632099985145032,[-0.26944444444444443],[0.33796296296296297],[1],[0],[0],[1.6808657000074163],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
63,0,63,0,10,109.30248439998832,109.30248439998832,0.030170299927704036,[-0.1175925925925926],[-0.23796296296296296],[1],[0],[0],[1.3158031000057235],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
64,0,64,0,10,110.65214990009554,110.65214990009554,0.030908699962310493,[0.020370370370370372],[-0.3074074074074074],[1],[0],[0],[1.250525299925357],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
65,0,65,0,10,111.96173450001515,111.96173450001515,0.05640769994352013,[0.16111111111111112],[-0.3509259259259259],[1],[0],[0],[1.1401407000375912],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
66,0,66,0,10,113.13509950006846,113.13509950006846,0.030300899990834296,[-0.11851851851851852],[-0.49444444444444446],[1],[0],[0],[1.3668019999749959],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
67,0,67,0,5,114.51973370008636,114.51973370008636,0.016390300006605685,[-0.4324074074074074],[-0.09814814814814815],[1],[0],[0],[1.3472193999914452],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
68,0,68,0,5,115.88676490006037,115.88676490006037,0.016300000017508864,[0.25092592592592594],[0.39814814814814814],[1],[0],[0],[1.1299087000079453],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
69,0,69,0,5,117.03503400005866,117.03503400005866,0.01572559995111078,[-0.175],[0.07314814814814814],[1],[0],[0],[1.298359900014475],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
70,0,70,0,10,118.36820940009784,118.36820940009784,0.03006619994994253,[0.3490740740740741],[0.22685185185185186],[1],[0],[0],[1.3342042000731453],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
71,0,71,0,10,119.7371698000934,119.7371698000934,0.03125420003198087,[0.15555555555555556],[0.4685185185185185],[1],[0],[0],[1.3975707000354305],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
72,0,72,0,5,121.15065630001482,121.15065630001482,0.015134199988096952,[-0.22407407407407406],[-0.20833333333333334],[1],[0],[0],[1.3326825000112876],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
73,0,73,0,5,122.50248810008634,122.50248810008634,0.015737100038677454,[0.2972222222222222],[0.4824074074074074],[1],[0],[0],[1.2478325999109074],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
74,0,74,0,10,123.78453760000411,123.78453760000411,0.029784999904222786,[0.17314814814814813],[-0.3212962962962963],[1],[0],[0],[1.483216100023128],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
75,0,75,0,10,125.30034499999601,125.30034499999601,0.029222800047136843,[-0.1175925925925926],[0.41759259259259257],[1],[0],[0],[2.5182557000080124],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
76,0,76,0,10,127.85251570004039,127.85251570004039,0.030912899994291365,[0.041666666666666664],[0.46574074074074073],[1],[0],[0],[1.1829104999778792],[],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
77,0,77,0,5,129.05032969999593,129.05032969999593,0.013597300043329597,[0.05462962962962963],[-0.005555555555555556],[1],[0],[0],[1.5326292999088764],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
78,0,78,0,5,130.60418570006732,130.60418570006732,0.017662899917922914,[-0.15925925925925927],[-0.07314814814814814],[1],[0],[0],[1.1629220000468194],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
79,0,79,0,5,131.78637760004494,131.78637760004494,0.015904399915598333,[-0.28703703703703703],[-0.1648148148148148],[1],[0],[0],[1.5475852000527084],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
80,0,80,0,5,133.3528639000142,133.3528639000142,0.015870700008235872,[-0.05],[-0.3888888888888889],[1],[0],[0],[1.2305642999708652],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
81,0,81,0,10,134.61742020002566,134.61742020002566,0.029673999990336597,[-0.3472222222222222],[0.3472222222222222],[1],[0],[0],[1.5333230000687763],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
82,0,82,0,10,136.18489370006137,136.18489370006137,0.030548300012014806,[0.2796296296296296],[-0.36018518518518516],[1],[0],[0],[1.6004568000789732],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
83,0,83,0,5,137.80118340009358,137.80118340009358,0.015018100035376847,[0.17407407407407408],[-0.0712962962962963],[1],[0],[0],[0.9812757999170572],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
84,0,84,0,10,138.8162999000633,138.8162999000633,0.029171600006520748,[0.026851851851851852],[0.44166666666666665],[1],[0],[0],[1.3847525999881327],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
85,0,85,0,10,140.23362710000947,140.23362710000947,0.029791200067847967,[0.2712962962962963],[-0.37962962962962965],[1],[0],[0],[1.5670502000721171],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
86,0,86,0,10,141.8331060000928,141.8331060000928,0.02937849995214492,[0.24444444444444444],[0.2972222222222222],[1],[0],[0],[1.2693721000105143],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
87,0,87,0,5,143.12015550001524,143.12015550001524,0.016404800000600517,[0.24814814814814815],[0.4824074074074074],[1],[0],[0],[1.429005700047128],['target'],101010,001,2022-09-26_22h19.31.056,Visual_Search_Exp,2022.2.4,60.82762060554298,
